"","eccentricity","folded_direction_content","abs_direction_content","folded_displacement","abs_displacement","target_spacing","target_number","subject","folded_response_with_carrier","abs_response_cw"
"90",6.66666666666667,0.4,-0.4,-0.0333333333333333,0.0333333333333333,10.471975511966,4,"je",TRUE,FALSE
"91",6.66666666666667,0.4,-0.4,-0.225,0.225,2.6179938779915,16,"je",TRUE,FALSE
"92",6.66666666666667,0.4,-0.4,-0.15,0.15,2.6179938779915,16,"je",TRUE,FALSE
"93",6.66666666666667,0.4,-0.4,-0.15,0.15,2.6179938779915,16,"je",TRUE,FALSE
"94",6.66666666666667,0.4,0.4,-0.0333333333333333,-0.0333333333333333,10.471975511966,4,"je",FALSE,FALSE
"95",6.66666666666667,0.4,-0.4,-0.759375,0.759375,2.0943951023932,20,"je",TRUE,FALSE
"96",6.66666666666667,0.4,0.4,-0.3375,-0.3375,2.6179938779915,16,"je",TRUE,TRUE
"97",6.66666666666667,0.4,0.4,0,0,10.471975511966,4,"je",TRUE,TRUE
"98",6.66666666666667,0.4,-0.4,-0.15,0.15,2.6179938779915,16,"je",TRUE,FALSE
"99",6.66666666666667,0.4,0.4,-0.50625,-0.50625,2.6179938779915,16,"je",FALSE,FALSE
"100",6.66666666666667,0.4,0.4,-0.0666666666666667,-0.0666666666666667,5.23598775598299,8,"je",TRUE,TRUE
"101",6.66666666666667,0.4,0.4,-0.3375,-0.3375,5.23598775598299,8,"je",FALSE,FALSE
"102",6.66666666666667,0.4,-0.4,0,0,10.471975511966,4,"je",TRUE,FALSE
"103",6.66666666666667,0.4,-0.4,-0.225,0.225,2.6179938779915,16,"je",TRUE,FALSE
"104",6.66666666666667,0.4,0.4,-0.3375,-0.3375,2.6179938779915,16,"je",TRUE,TRUE
"105",6.66666666666667,0.4,-0.4,-0.0333333333333333,0.0333333333333333,10.471975511966,4,"je",TRUE,FALSE
"106",6.66666666666667,0.4,0.4,-0.50625,-0.50625,2.6179938779915,16,"je",FALSE,FALSE
"107",6.66666666666667,0.4,0.4,-0.225,-0.225,5.23598775598299,8,"je",FALSE,FALSE
"109",6.66666666666667,0.4,-0.4,-0.0666666666666667,0.0666666666666667,10.471975511966,4,"je",TRUE,FALSE
"110",6.66666666666667,0.4,0.4,-0.50625,-0.50625,2.6179938779915,16,"je",TRUE,TRUE
"111",6.66666666666667,0.4,0.4,0,0,10.471975511966,4,"je",FALSE,FALSE
"112",6.66666666666667,0.4,-0.4,-0.225,0.225,2.0943951023932,20,"je",TRUE,FALSE
"113",6.66666666666667,0.4,0.4,-0.225,-0.225,2.0943951023932,20,"je",FALSE,FALSE
"114",6.66666666666667,0.4,0.4,-0.759375,-0.759375,2.6179938779915,16,"je",FALSE,FALSE
"116",6.66666666666667,0.4,-0.4,0.0333333333333333,-0.0333333333333333,10.471975511966,4,"je",TRUE,FALSE
"117",6.66666666666667,0.4,-0.4,-0.50625,0.50625,2.6179938779915,16,"je",FALSE,TRUE
"118",6.66666666666667,0.4,-0.4,-0.15,0.15,5.23598775598299,8,"je",TRUE,FALSE
"119",6.66666666666667,0.4,0.4,-0.15,-0.15,2.0943951023932,20,"je",TRUE,TRUE
"120",6.66666666666667,0.4,-0.4,-0.15,0.15,2.0943951023932,20,"je",TRUE,FALSE
"122",6.66666666666667,0.4,-0.4,-0.1,0.1,10.471975511966,4,"je",FALSE,TRUE
"124",6.66666666666667,0.4,0.4,-0.759375,-0.759375,2.6179938779915,16,"je",FALSE,FALSE
"125",6.66666666666667,0.4,-0.4,-0.1,0.1,10.471975511966,4,"je",TRUE,FALSE
"126",6.66666666666667,0.4,-0.4,-0.759375,0.759375,2.6179938779915,16,"je",TRUE,FALSE
"127",6.66666666666667,0.4,-0.4,-0.3375,0.3375,2.6179938779915,16,"je",TRUE,FALSE
"128",6.66666666666667,0.4,-0.4,-0.0666666666666667,0.0666666666666667,5.23598775598299,8,"je",TRUE,FALSE
"129",6.66666666666667,0.4,0.4,-0.1,-0.1,5.23598775598299,8,"je",TRUE,TRUE
"131",6.66666666666667,0.4,0.4,-1.1390625,-1.1390625,2.6179938779915,16,"je",TRUE,TRUE
"132",6.66666666666667,0.4,-0.4,-0.225,0.225,5.23598775598299,8,"je",TRUE,FALSE
"133",6.66666666666667,0.4,0.4,-0.15,-0.15,5.23598775598299,8,"je",TRUE,TRUE
"134",6.66666666666667,0.4,0.4,0.0333333333333333,0.0333333333333333,10.471975511966,4,"je",TRUE,TRUE
"135",6.66666666666667,0.4,-0.4,-0.225,0.225,5.23598775598299,8,"je",TRUE,FALSE
"136",6.66666666666667,0.4,-0.4,-0.3375,0.3375,2.6179938779915,16,"je",TRUE,FALSE
"137",6.66666666666667,0.4,0.4,-0.3375,-0.3375,5.23598775598299,8,"je",TRUE,TRUE
"138",6.66666666666667,0.4,0.4,-1.1390625,-1.1390625,2.0943951023932,20,"je",TRUE,TRUE
"139",6.66666666666667,0.4,0.4,-0.15,-0.15,2.0943951023932,20,"je",TRUE,TRUE
"140",6.66666666666667,0.4,0.4,-1.1390625,-1.1390625,2.0943951023932,20,"je",TRUE,TRUE
"141",6.66666666666667,0.4,-0.4,-0.50625,0.50625,5.23598775598299,8,"je",FALSE,TRUE
"142",6.66666666666667,0.4,-0.4,-1.1390625,1.1390625,2.0943951023932,20,"je",TRUE,FALSE
"143",6.66666666666667,0.4,-0.4,-1.1390625,1.1390625,2.0943951023932,20,"je",TRUE,FALSE
"144",6.66666666666667,0.4,0.4,-0.3375,-0.3375,2.6179938779915,16,"je",TRUE,TRUE
"145",6.66666666666667,0.4,-0.4,-0.15,0.15,2.0943951023932,20,"je",TRUE,FALSE
"146",6.66666666666667,0.4,0.4,-1.1390625,-1.1390625,2.0943951023932,20,"je",TRUE,TRUE
"147",6.66666666666667,0.4,-0.4,-1.1390625,1.1390625,2.0943951023932,20,"je",TRUE,FALSE
"149",6.66666666666667,0.4,-0.4,-1.1390625,1.1390625,2.0943951023932,20,"je",TRUE,FALSE
"150",6.66666666666667,0.4,-0.4,-1.1390625,1.1390625,2.0943951023932,20,"je",TRUE,FALSE
"151",6.66666666666667,0.4,-0.4,-0.15,0.15,10.471975511966,4,"je",FALSE,TRUE
"152",6.66666666666667,0.4,-0.4,-0.3375,0.3375,5.23598775598299,8,"je",FALSE,TRUE
"153",6.66666666666667,0.4,0.4,0.0333333333333333,0.0333333333333333,10.471975511966,4,"je",TRUE,TRUE
"155",6.66666666666667,0.4,-0.4,-0.15,0.15,10.471975511966,4,"je",TRUE,FALSE
"156",6.66666666666667,0.4,-0.4,-0.3375,0.3375,2.6179938779915,16,"je",TRUE,FALSE
"158",6.66666666666667,0.4,-0.4,-0.3375,0.3375,5.23598775598299,8,"je",FALSE,TRUE
"159",6.66666666666667,0.4,0.4,-0.50625,-0.50625,2.6179938779915,16,"je",TRUE,TRUE
"161",6.66666666666667,0.4,-0.4,-0.3375,0.3375,5.23598775598299,8,"je",FALSE,TRUE
"162",6.66666666666667,0.4,0.4,-1.1390625,-1.1390625,2.6179938779915,16,"je",TRUE,TRUE
"163",6.66666666666667,0.4,-0.4,0.0333333333333333,-0.0333333333333333,10.471975511966,4,"je",FALSE,TRUE
"164",6.66666666666667,0.4,0.4,-1.1390625,-1.1390625,2.6179938779915,16,"je",TRUE,TRUE
"165",6.66666666666667,0.4,0.4,-1.1390625,-1.1390625,2.6179938779915,16,"je",TRUE,TRUE
"166",6.66666666666667,0.4,0.4,0.0666666666666667,0.0666666666666667,10.471975511966,4,"je",TRUE,TRUE
"167",6.66666666666667,0.4,-0.4,-0.759375,0.759375,2.6179938779915,16,"je",FALSE,TRUE
"168",6.66666666666667,0.4,0.4,0.0666666666666667,0.0666666666666667,10.471975511966,4,"je",TRUE,TRUE
"169",6.66666666666667,0.4,0.4,-0.225,-0.225,10.471975511966,4,"je",TRUE,TRUE
"170",6.66666666666667,0.4,0.4,-0.50625,-0.50625,2.6179938779915,16,"je",FALSE,FALSE
"171",6.66666666666667,0.4,0.4,-0.3375,-0.3375,5.23598775598299,8,"je",FALSE,FALSE
"173",6.66666666666667,0.4,0.4,-0.225,-0.225,2.0943951023932,20,"je",TRUE,TRUE
"174",6.66666666666667,0.4,0.4,-0.3375,-0.3375,10.471975511966,4,"je",FALSE,FALSE
"176",6.66666666666667,0.4,-0.4,-1.1390625,1.1390625,2.0943951023932,20,"je",TRUE,FALSE
"178",6.66666666666667,0.4,-0.4,-0.225,0.225,5.23598775598299,8,"je",FALSE,TRUE
"179",6.66666666666667,0.4,0.4,-0.225,-0.225,2.0943951023932,20,"je",TRUE,TRUE
"180",6.66666666666667,0.4,0.4,-1.1390625,-1.1390625,2.6179938779915,16,"je",TRUE,TRUE
"181",6.66666666666667,0.4,0.4,-0.3375,-0.3375,5.23598775598299,8,"je",FALSE,FALSE
"183",6.66666666666667,0.4,-0.4,-0.3375,0.3375,10.471975511966,4,"je",FALSE,TRUE
"184",6.66666666666667,0.4,0.4,-0.225,-0.225,5.23598775598299,8,"je",FALSE,FALSE
"185",6.66666666666667,0.4,-0.4,0.0666666666666667,-0.0666666666666667,10.471975511966,4,"je",TRUE,FALSE
"186",6.66666666666667,0.4,-0.4,-0.15,0.15,5.23598775598299,8,"je",FALSE,TRUE
"187",6.66666666666667,0.4,-0.4,-1.1390625,1.1390625,2.6179938779915,16,"je",TRUE,FALSE
"188",6.66666666666667,0.4,0.4,-1.1390625,-1.1390625,2.0943951023932,20,"je",TRUE,TRUE
"189",6.66666666666667,0.4,0.4,-0.225,-0.225,2.0943951023932,20,"je",TRUE,TRUE
"190",6.66666666666667,0.4,-0.4,-1.1390625,1.1390625,2.0943951023932,20,"je",TRUE,FALSE
"191",6.66666666666667,0.4,-0.4,-0.3375,0.3375,10.471975511966,4,"je",FALSE,TRUE
"192",6.66666666666667,0.4,0.4,-0.225,-0.225,2.0943951023932,20,"je",TRUE,TRUE
"193",6.66666666666667,0.4,0.4,-1.1390625,-1.1390625,2.6179938779915,16,"je",TRUE,TRUE
"194",6.66666666666667,0.4,0.4,-0.3375,-0.3375,2.6179938779915,16,"je",TRUE,TRUE
"195",6.66666666666667,0.4,-0.4,-1.1390625,1.1390625,2.6179938779915,16,"je",TRUE,FALSE
"196",6.66666666666667,0.4,-0.4,-0.3375,0.3375,2.0943951023932,20,"je",TRUE,FALSE
"197",6.66666666666667,0.4,-0.4,-1.1390625,1.1390625,2.0943951023932,20,"je",TRUE,FALSE
"199",6.66666666666667,0.4,-0.4,0.0666666666666667,-0.0666666666666667,10.471975511966,4,"je",FALSE,TRUE
"200",6.66666666666667,0.4,0.4,-1.1390625,-1.1390625,2.6179938779915,16,"je",TRUE,TRUE
"201",6.66666666666667,0.4,0.4,-0.3375,-0.3375,2.6179938779915,16,"je",TRUE,TRUE
"202",6.66666666666667,0.4,0.4,-1.1390625,-1.1390625,2.0943951023932,20,"je",TRUE,TRUE
"203",6.66666666666667,0.4,0.4,-1.1390625,-1.1390625,2.6179938779915,16,"je",TRUE,TRUE
"204",6.66666666666667,0.4,0.4,-0.15,-0.15,5.23598775598299,8,"je",TRUE,TRUE
"205",6.66666666666667,0.4,0.4,-0.3375,-0.3375,10.471975511966,4,"je",FALSE,FALSE
"206",6.66666666666667,0.4,-0.4,-0.225,0.225,10.471975511966,4,"je",FALSE,TRUE
"210",6.66666666666667,0.4,-0.4,-0.50625,0.50625,2.0943951023932,20,"je",FALSE,TRUE
"211",6.66666666666667,0.4,0.4,-0.3375,-0.3375,2.0943951023932,20,"je",TRUE,TRUE
"212",6.66666666666667,0.4,-0.4,-0.3375,0.3375,2.0943951023932,20,"je",FALSE,TRUE
"213",6.66666666666667,0.4,-0.4,-0.3375,0.3375,2.6179938779915,16,"je",FALSE,TRUE
"214",6.66666666666667,0.4,-0.4,-0.15,0.15,10.471975511966,4,"je",FALSE,TRUE
"215",6.66666666666667,0.4,-0.4,-0.225,0.225,2.0943951023932,20,"je",FALSE,TRUE
"216",6.66666666666667,0.4,0.4,0.1,0.1,10.471975511966,4,"je",TRUE,TRUE
"217",6.66666666666667,0.4,0.4,-0.225,-0.225,5.23598775598299,8,"je",TRUE,TRUE
"218",6.66666666666667,0.4,-0.4,0.1,-0.1,10.471975511966,4,"je",TRUE,FALSE
"219",6.66666666666667,0.4,-0.4,-0.1,0.1,5.23598775598299,8,"je",FALSE,TRUE
"220",6.66666666666667,0.4,-0.4,-0.1,0.1,10.471975511966,4,"je",FALSE,TRUE
"222",6.66666666666667,0.4,0.4,-0.15,-0.15,2.0943951023932,20,"je",TRUE,TRUE
"223",6.66666666666667,0.4,-0.4,-1.1390625,1.1390625,2.6179938779915,16,"je",FALSE,TRUE
"224",6.66666666666667,0.4,-0.4,-0.0666666666666667,0.0666666666666667,5.23598775598299,8,"je",TRUE,FALSE
"225",6.66666666666667,0.4,0.4,-0.0666666666666667,-0.0666666666666667,5.23598775598299,8,"je",TRUE,TRUE
"226",6.66666666666667,0.4,-0.4,-0.0666666666666667,0.0666666666666667,5.23598775598299,8,"je",TRUE,FALSE
"227",6.66666666666667,0.4,-0.4,-1.1390625,1.1390625,2.6179938779915,16,"je",FALSE,TRUE
"228",6.66666666666667,0.4,0.4,-0.3375,-0.3375,5.23598775598299,8,"je",FALSE,FALSE
"229",6.66666666666667,0.4,0.4,-0.225,-0.225,2.6179938779915,16,"je",TRUE,TRUE
"230",6.66666666666667,0.4,0.4,-1.1390625,-1.1390625,2.0943951023932,20,"je",TRUE,TRUE
"231",6.66666666666667,0.4,0.4,0.1,0.1,10.471975511966,4,"je",FALSE,FALSE
"233",6.66666666666667,0.4,-0.4,-1.1390625,1.1390625,2.0943951023932,20,"je",TRUE,FALSE
"234",6.66666666666667,0.4,0.4,-0.225,-0.225,2.6179938779915,16,"je",TRUE,TRUE
"235",6.66666666666667,0.4,0.4,-0.3375,-0.3375,5.23598775598299,8,"je",FALSE,FALSE
"237",6.66666666666667,0.4,-0.4,-0.3375,0.3375,5.23598775598299,8,"je",FALSE,TRUE
"240",6.66666666666667,0.4,-0.4,-1.1390625,1.1390625,2.6179938779915,16,"je",TRUE,FALSE
"241",6.66666666666667,0.4,-0.4,-0.0666666666666667,0.0666666666666667,10.471975511966,4,"je",FALSE,TRUE
"243",6.66666666666667,0.4,0.4,-0.15,-0.15,2.0943951023932,20,"je",TRUE,TRUE
"244",6.66666666666667,0.4,-0.4,-0.15,0.15,2.0943951023932,20,"je",TRUE,FALSE
"246",6.66666666666667,0.4,0.4,-0.15,-0.15,2.0943951023932,20,"je",TRUE,TRUE
"247",6.66666666666667,0.4,0.4,-1.1390625,-1.1390625,2.0943951023932,20,"je",TRUE,TRUE
"248",6.66666666666667,0.4,-0.4,-1.1390625,1.1390625,2.0943951023932,20,"je",TRUE,FALSE
"249",6.66666666666667,0.4,0.4,-0.225,-0.225,2.0943951023932,20,"je",TRUE,TRUE
"250",6.66666666666667,0.4,-0.4,-0.3375,0.3375,2.0943951023932,20,"je",TRUE,FALSE
"251",6.66666666666667,0.4,0.4,-0.225,-0.225,2.6179938779915,16,"je",TRUE,TRUE
"252",6.66666666666667,0.4,0.4,-0.225,-0.225,2.6179938779915,16,"je",TRUE,TRUE
"253",6.66666666666667,0.4,-0.4,-1.1390625,1.1390625,2.6179938779915,16,"je",TRUE,FALSE
"254",6.66666666666667,0.4,-0.4,-1.1390625,1.1390625,2.0943951023932,20,"je",TRUE,FALSE
"255",6.66666666666667,0.4,-0.4,-0.50625,0.50625,2.0943951023932,20,"je",FALSE,TRUE
"256",6.66666666666667,0.4,-0.4,-0.3375,0.3375,5.23598775598299,8,"je",FALSE,TRUE
"257",6.66666666666667,0.4,-0.4,-0.3375,0.3375,2.0943951023932,20,"je",TRUE,FALSE
"259",6.66666666666667,0.4,-0.4,-0.3375,0.3375,2.0943951023932,20,"je",TRUE,FALSE
"260",6.66666666666667,0.4,0.4,-1.1390625,-1.1390625,2.6179938779915,16,"je",TRUE,TRUE
"261",6.66666666666667,0.4,-0.4,-0.3375,0.3375,2.0943951023932,20,"je",TRUE,FALSE
