"","eccentricity","abs_direction_content","content_ccw","content_cw","abs_displacement","target_number_all","target_number_shown","tf","wavelengthScalar","dt","widthScalar","durationScalar","order","n","grid","analysis_wavelengths.1","analysis_wavelengths.2","analysis_wavelengths.3","analysis_wavelengths.4","filter_sizes.1","filter_sizes.2","filter_sizes.3","filter_sizes.4","filter_cycles.1","filter_cycles.2","filter_cycles.3","filter_cycles.4","energy_cw.1","energy_cw.2","energy_cw.3","energy_cw.4","energy_ccw.1","energy_ccw.2","energy_ccw.3","energy_ccw.4"
"3964",6.66666666666667,-0.05,0.2625,0.2375,0.225,20,NA,10,0.075,0.1,0.075,0.666666666666667,4,4,1,0.333333333333333,0.5,0.75,1.12533333333333,6.50930580493288,4.61482379751087,3.51129805979177,2.58957867501229,3.02443947839018,2.4796887756122,2.10487860758935,1.74027343348723,168328795.596462,289460846.421125,212058068.657663,89351305.7637655,193088550.61294,370685359.002268,296468875.353919,133245953.819598
"3965",6.66666666666667,-0.05,0.2625,0.2375,0.225,24,NA,10,0.075,0.1,0.075,0.666666666666667,4,4,1,0.333333333333333,0.5,0.75,1.12533333333333,6.50930580493288,4.61482379751087,3.51129805979177,2.58957867501229,3.02443947839018,2.4796887756122,2.10487860758935,1.74027343348723,202021838.966183,347260919.889783,255012616.348054,106375789.97936,231671687.620815,445193299.322192,356152848.061432,157805864.494744
"3966",6.66666666666667,-0.05,0.2625,0.2375,0.275567596063107,16,NA,10,0.075,0.1,0.075,0.666666666666667,4,4,0,0.333333333333333,0.5,0.75,1.12533333333333,6.50930580493288,4.61482379751087,3.51129805979177,2.58957867501229,3.02443947839018,2.4796887756122,2.10487860758935,1.74027343348723,131891767.396522,254668566.572919,196445359.640397,84079061.6522233,137773216.129037,300717192.906255,255073506.479352,118032945.747372
"3967",6.66666666666667,-0.05,0.2625,0.2375,0.275567596063107,20,NA,10,0.075,0.1,0.075,0.666666666666667,4,4,0,0.333333333333333,0.5,0.75,1.12533333333333,6.50930580493288,4.61482379751087,3.51129805979177,2.58957867501229,3.02443947839018,2.4796887756122,2.10487860758935,1.74027343348723,164869119.56884,318265240.399576,245686650.328956,104947068.842456,172226584.174813,375775807.546255,319231045.621553,147010399.544289
"3968",6.66666666666667,-0.05,0.2625,0.2375,0.3375,2,NA,10,0.075,0.1,0.075,0.666666666666667,4,4,1,0.333333333333333,0.5,0.75,1.12533333333333,6.50930580493288,4.61482379751087,3.51129805979177,2.58957867501229,3.02443947839018,2.4796887756122,2.10487860758935,1.74027343348723,14219347.9944152,32192136.3494899,27188536.6519966,12151276.8693865,13776002.0773178,34849080.3224622,32625514.9994559,15886118.1844101
"3969",6.66666666666667,-0.05,0.2625,0.2375,0.3375,3,NA,10,0.075,0.1,0.075,0.666666666666667,4,4,1,0.333333333333333,0.5,0.75,1.12533333333333,6.50930580493288,4.61482379751087,3.51129805979177,2.58957867501229,3.02443947839018,2.4796887756122,2.10487860758935,1.74027343348723,21329065.9083611,48288020.9362612,40782967.2766295,18226187.5296184,20664039.7344337,52273408.2295979,48938527.5843499,23828306.9887732
"3970",6.66666666666667,-0.05,0.2625,0.2375,0.3375,4,NA,10,0.075,0.1,0.075,0.666666666666667,4,4,1,0.333333333333333,0.5,0.75,1.12533333333333,6.50930580493288,4.61482379751087,3.51129805979177,2.58957867501229,3.02443947839018,2.4796887756122,2.10487860758935,1.74027343348723,28438695.9888304,64384272.6990144,54377073.2908703,24302555.2854277,27552004.1546355,69698160.6449636,65251029.9842286,31772237.9613365
"3971",6.66666666666667,-0.05,0.2625,0.2375,0.3375,5,NA,10,0.075,0.1,0.075,0.666666666666667,4,4,1,0.333333333333333,0.5,0.75,1.12533333333333,6.50930580493288,4.61482379751087,3.51129805979177,2.58957867501229,3.02443947839018,2.4796887756122,2.10487860758935,1.74027343348723,35548457.4490129,80479971.6683957,67971671.8397975,30377056.302057,34440077.9393208,87122277.4618883,81564306.725672,39713960.5491913
"3972",6.66666666666667,-0.05,0.2625,0.2375,0.3375,6,NA,10,0.075,0.1,0.075,0.666666666666667,4,4,1,0.333333333333333,0.5,0.75,1.12533333333333,6.50930580493288,4.61482379751087,3.51129805979177,2.58957867501229,3.02443947839018,2.4796887756122,2.10487860758935,1.74027343348723,42658131.8168172,96576041.2720007,81565999.3882392,36454254.5008591,41328079.4689677,104546815.78297,97877133.1208474,47659013.9392877
"3973",6.66666666666667,-0.05,0.2625,0.2375,0.3375,7,NA,10,0.075,0.1,0.075,0.666666666666667,4,4,1,0.333333333333333,0.5,0.75,1.12533333333333,6.50930580493288,4.61482379751087,3.51129805979177,2.58957867501229,3.02443947839018,2.4796887756122,2.10487860758935,1.74027343348723,49767873.7412219,112671752.679487,95160577.9239389,42528168.8924819,48216171.7157817,121970961.116811,114190358.172505,55599908.0051505
